id,milestone
1181558,DeleteProj
1181558,InsertTableImage
1181558,Location
1181558,ManageTab
1181558,OpenData
1181558,OpenReport
1181558,OpenReportList
1181558,OpensAndBounces
1181558,ProjPreview
1181558,ReEditProj
1181558,ReportsTab
1181558,SendLater
1181558,SendNow
1181558,SimpleProjCreate
1181558,SocialAutoPost
1181558,TestSend
1181558,TxtFontSizeColor
1204322,AdvProjCreate
1204322,InsertTableImage
1204322,ManageTab
1204322,ProjPreview
1204322,ReEditProj
1204322,ReportsTab
1204322,ReSchedProj
1204322,SendLater
1204322,SendNow
1204322,TestSend
1210840,AddImage
1210840,CaptionedImages
1210840,ImageProperties
1210840,InsertList
1210840,InsertTableImage
1210840,ManageFilters
1210840,ManageTab
1210840,MultiImageElemen
1210840,ProjPreview
1210840,ReEditProj
1210840,ReportsFilters
1210840,ReportsTab
1210840,ReSchedProj
1210840,SEBackColors
1210840,SEBorders
1210840,SEDeleteElement
1210840,SEDragIn
1210840,SEDragMove
1210840,SEDragResize
1210840,SELinkElements
1210840,SendNow
1210840,SEPadding
1210840,SimpleProjCreate
1210840,SocialFollowElem
1210840,SocialShareEleme
1210840,TableSort
1210840,TestSend
1210840,TxtBIUS
1210840,TxtFontSizeColor
1210840,TxtIndentJustify
1210840,TxtStylesFormats
1210840,UploadImage
1210840,UseBlankTemplate
1213047,ManageTab
1213047,ProjPreview
1213047,ReSchedProj
1213047,SendNow
1223780,UseBlankTemplate
1233250,CopyProj
1233250,InsertTableImage
1233250,ManageFilters
1233250,ManageTab
1233250,OpenReport
1233250,OpensAndBounces
1233250,ProjPreview
1233250,ReEditProj
1233250,ReportsFilters
1233250,ReportsTab
1233250,ReSchedProj
1233250,SendNow
1233250,TableSort
1233250,TestSend
1233250,TxtFontSizeColor
1233250,UnopenedData
1242715,AddImage
1242715,AddTwitter
1242715,AdvProjCreate
1242715,CaptionedImages
1242715,CopyProj
1242715,DeleteProj
1242715,EditDefaultStyle
1242715,HideOnMobile
1242715,ImageProperties
1242715,ImportProjFileUR
1242715,InsertLinkAnchor
1242715,InsertTableImage
1242715,ManageTab
1242715,MobileFriendly
1242715,MultiImageElemen
1242715,PrevMobileVersio
1242715,PrevTextVersion
1242715,ProjPreview
1242715,ReEditProj
1242715,RenameProj
1242715,ReportsFilters
1242715,ReportsTab
1242715,SEBackColors
1242715,SEBorders
1242715,SEDeleteElement
1242715,SEDragIn
1242715,SEDragMove
1242715,SEDragResize
1242715,SELinkElements
1242715,SendLater
1242715,SendNow
1242715,SEPadding
1242715,SimpleProjCreate
1242715,SocialAutoPost
1242715,SocialShareEleme
